"","L2/3","Oligo_1","AST-PP","OPC_1","L4_1","IN-VIP","L4_2","IN-PV","Neu-NRGN-II","Oligo_2","Microglia","IN-SST","L5/6-CC","IN-SV2C","L5/6_1","Endothelial","L5/6_2","OPC_2"
"AC019197.1",0.1294358,-0.2134069,-0.2114365,0.00220043,0.5265269,0.2039856,0.03500096,0.09863624,-0.1952129,-0.2215759,-0.2039646,-0.08077481,-0.01119148,-0.1001858,-0.02309652,1.333959,-0.03755229,-0.08348701
"Z68323.1",-0.0705109,-0.1330479,-0.1286898,-0.1274993,0.5505103,-0.1224205,0.902522,-0.1261826,0.07158792,-0.1367661,-0.1358944,-0.1212367,0.02004412,-0.1329647,-0.1058109,-0.1087132,-0.1056479,-0.144997
"SNCG",-0.02454346,-0.1858323,-0.1488329,-0.2121518,-0.1684869,-0.124017,0.4746245,0.7026419,0.9098721,-0.305978,-0.174851,0.07892716,-0.1368314,-0.196727,-0.00532525,0.05295822,-0.1464077,-0.1614627
"MKX",0.0665301,-0.2182861,-0.207836,-0.2095157,-0.08722632,-0.1264031,1.19598,0.09978779,0.01329833,-0.2156117,-0.2062193,0.1389823,0.458153,-0.1160343,-0.1274812,-0.17816,0.1746973,-0.2149446
"TRABD2A",-0.05767211,-0.1357182,-0.1312504,-0.1298641,0.08142537,-0.1060805,1.290597,-0.1102203,0.04337679,-0.1357622,-0.1066988,-0.1202836,-0.06435549,-0.08644777,0.02879468,0.02533483,-0.09951874,-0.09708063
"RPRM",-0.1351961,-0.14237,-0.1420524,0.03574853,-0.09973593,0.3923263,0.9512191,-0.1240556,0.04044192,-0.151266,-0.1403618,-0.1334594,-0.1201789,-0.1373974,0.7323971,-0.1049286,0.3508701,0.08666403
"AP000943.2",-0.06330868,-0.2515634,-0.2468412,-0.2210253,0.0154665,-0.001008847,0.7213503,0.864142,-0.2121707,-0.2647849,-0.2279719,0.6137039,0.03000609,-0.1773486,1.125466,-0.1710938,-0.2421923,-0.2014991
"OCA2",0.03890968,-0.2555424,-0.2522193,-0.2512839,0.384177,0.2464224,0.8073136,-0.08948605,-0.2067452,-0.2564705,-0.2490684,0.01866169,0.2201688,0.3256868,0.5203963,-0.2108334,0.797505,-0.2674642
"AC004594.1",0.3054143,-0.246066,-0.1165278,-0.1638786,0.1544226,-0.2171556,0.7969706,-0.2088608,-0.2396685,-0.2540448,-0.2288417,-0.238666,0.4870067,-0.2318022,0.2713931,-0.140356,-0.2296159,-0.1750107
"LINC01902",-0.0464898,-0.1928215,-0.1999841,-0.1956244,0.3833642,0.03670966,0.8744947,-0.01630877,-0.1821962,-0.1947732,-0.1975546,0.3624394,0.2213104,-0.04278537,0.3636121,-0.1887543,0.1321893,-0.2088541
"AL138927.1",0.01028383,-0.1449719,-0.1424584,-0.1388108,-0.04117089,-0.1380178,1.076752,-0.1351295,-0.1380725,-0.1468394,-0.1427283,-0.1316507,0.5582275,-0.1291004,0.4932042,-0.1417385,-0.1220756,-0.1565064
"AC073091.4",0.2660085,-0.1965934,-0.1927231,-0.1892425,0.3993135,-0.1828061,0.9105828,-0.1435258,-0.1812981,-0.1987061,-0.1939927,-0.1821641,-0.08708724,-0.1776033,-0.1355622,-0.1693303,-0.1670351,-0.1835102
